Nro,Sääntö_ID_en,Kuvaus,Selkokielinen paluuarvo,Virheviestin parametrit,Elinkaarivaihe,Luokka.attribuutti,Koodiarvo
134,lifecycle/req-only-one-planmatterdecision-handleevent-instance-allowed-subject-appeal-lifecycle,KaavaAsianVaihe-luokan elinkaaritila-attribuutin arvon ollessa valituksen alainen ja KaavaAsianPäätös-luokan ollessa mukana täytyy Käsittelytapahtuma-luokkia olla yksi.,KaavaAsianVaihe-luokan elinkaaritila-attribuutin arvon ollessa valituksen alainen ja KaavaAsianPäätös-luokan ollessa mukana täytyy Käsittelytapahtuma-luokkia olla yksi.,,Valituksen alainen,"KaavaAsianVaihe.elinkaaritila, KaavaAsianPäätös, Käsittelytapahtuma",
135,lifecycle/req-planmatterdecision-name-plantype-subject-appeal-lifecycle,"Jos kaavasta ei ole tallennettu aiempia vaiheita eli asia tallennetaan ensimmäisen kerran Ryhti-järjestelmään ja elinkaarentila on valituksenalainen, pitää myös kaava-luokka olla mukana. Kaavapäätöksen nimi täytyy tällöin olla joko 12 (Kaavan hyväksyminen oikaisukehotuksen johdosta) tai 13 (Kaavan tai sen osan kuuluttaminen voimaan ennen kaavan lainvoimaisuutta).","KaavaAsianPäätös-luokan nimi-attribuutin täytyy olla 12 tai 13, kun KaavaAsianVaihe-luokan elinkaaritila-attribuutin arvo on valituksen alainen ja kaavalajina jokin seuraavista 31, 39, 33, 35, 21, 23, 24, 25 tai 26",,Valituksen alainen,"KaavaAsianPäätös.nimi, KaavaAsianVaihe.elinkaaritila, KaavaAsia.kaavalaji",{0}=http://uri.suomi.fi/codelist/rytj/kaavpaatnimi/code/12 {1}=http://uri.suomi.fi/codelist/rytj/kaavpaatnimi/code/13 {2}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/31 {3}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/39 {4}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/33 {5}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/35 {6}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/21 {7}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/23 {8}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/24 {9}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/25 {10}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/2
136,lifecycle/req-planmatterdecision-name-subject-appeal-lifecycle,"Elinkaarentilassa valituksenalainen voi kaava-asian päätösluokan nimi-attribuutin arvo olla 12 (kaavan hyväksyminen oikaisukehotuksen johdosta), 13 (kaavan tai sen osan kuuluttaminen voimaan ennen kaavan laivoimaisuutta) tai 15 (valituksen vastineiden hyväksyminen).","KaavaAsianPäätös-luokan nimi-attribuutin täytyy olla 12, 13 tai 15, kun KaavaAsianVaihe-luokan elinkaaritila-attribuutin arvo on valituksen alainen",,Valituksen alainen,"KaavaAsianPäätös.nimi, KaavaAsianVaihe.elinkaaritila",{0}=http://uri.suomi.fi/codelist/rytj/kaavpaatnimi/code/12 {1}=http://uri.suomi.fi/codelist/rytj/kaavpaatnimi/code/14 {2}=http://uri.suomi.fi/codelist/rytj/kaavpaatnimi/code/15
137,lifecycle/req-planmatterdecision-name-handleevent-type-mismatch-subject-appeal-lifecycle,Elinkaarentilassa valituksenalainen käsittelytapahtuman laji tulee olla päätöksen nimi-attribuutin mukainen.,KaavaAsianVaihe-luokan elinkaaritila-attribuutin arvon ollessa valituksen alainen tulee KaavaAsianPäätös-luokan nimi-attribuutin ja Käsittelytapahtuma-luokan laji-attribuutin vastata toisiaan.,,Valituksen alainen,"KaavaAsianVaihe.elinkaaritila, KaavaAsianPäätös.nimi, Käsittelytapahtuma.laji",
138,lifecycle/req-handlingevent-without-planmatterdecision-not-allowed-appeal-lifecycle,Ilman KaavaAsianPäätös-luokkaa ei voi antaa käsittelytapahtumanlajia.,"Käsittelytapahtuma-luokka ei sallittu ilman KaavaAsianPäätös-luokkaa, kun KaavaAsianVaihe-luokan elinkaaritila-attribuutin arvo on valituksen alainen",,Valituksen alainen,"Käsittelytapahtuma, KaavaAsianPäätös, KaavaAsianVaihe.elinkaaritila",
139,lifecycle/req-planmatterdecision-not-allowed-07-09-lifecycles,Oikaisukehotuksen alainen tai oikaisukehoituksen alainen ja valituksenalainen ei päätösluokka ei sallittu.,"KaavaAsianPäätös-luokka ei sallittu, kun KaavaAsianVaihe-luokan elinkaaritila-attribuutin arvo on 07 tai 09",,"Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen","KaavaAsianPäätös, KaavaAsianVaihe.elinkaaritila",{0}=http://uri.suomi.fi/codelist/rytj/kaavaelinkaari/code/07 {1}=http://uri.suomi.fi/codelist/rytj/kaavaelinkaari/code/09
140,lifecycle/req-plantype-11-12-not-allowed-07-09-lifecycles,Maakuntakaavan (kaavalaji 11 tai 12) elinkaarentila ei voi olla oikaisukehtuksen alainen eikä oikaisukehotuksen alainen ja valituksenalainen.,"KaavaAsia-luokan kaavalaji-attribuutin arvojen ollessa 11 tai 12, KaavaAsianVaihe-luokan elinkaaritila-attribuutti ei saa olla 07 tai 09",,"Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen","KaavaAsia.kaavalaji, KaavaAsianVaihe.elinkaaritila",{0}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/11 {1}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/12 {2}=http://uri.suomi.fi/codelist/rytj/kaavaelinkaari/code/07 {3}=http://uri.suomi.fi/codelist/rytj/kaavaelinkaari/code/09
141,quality/req-filekey-not-found,Liiteasiakirjaan viittaavalla tiedostoavaimella (GUID) ei ole tallennettu tiedostoa Ryhti-järjestelmään. Liiteteasiakirjaan viittaava tiedostoavain (GUID) on väärä tai tiedostoa ei ole tuotu.,tiedostoAvain-attribuutin arvoa {0} vastaavaa tiedostoa ei löydy tallennettuna Ryhti-järjestelmästä.,{0} = fileKey,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa","Liiteasiakirja.tiedostoAvain, Kaavakartta.tiedostoAvain",
142,lifecycle/req-plan-08-planobject-planregulationgrouprelations-planrecommendation-planregulation-08-or-13,Asema- tai yleiskaavan ollessa elinkaarentilassa valituksen alainen kun kaava-luokka on mukana niin kaavakohteiden ja kaavamääräysten elinkaarentila olla vain joko valituksenalainen tai voimassa.,"Kaava-luokan elinkaaritila-attribuutin ollessa 08, täytyy Kaavakohde-, Kohdistus- Kaavamääräys- ja Kaavasuositus-luokan elinkaaritila-attribuutin olla 08 tai 13",,Valituksen alainen,"Kaava.elinkaaritila, Kaavakohde.elinkaaritila, Kohdistus.elinkaaritila, Kaavamääräys.elinkaaritila, Kaavasuositus.elinkaaritila",{0}=http://uri.suomi.fi/codelist/rytj/kaavaelinkaari/code/08 {1}=http://uri.suomi.fi/codelist/rytj/kaavaelinkaari/code/13
143,lifecycle/req-plan-08-plantype-11-or-12-planobject-planregulationgrouprelations-planrecommendation-planregulation-08-or-11,Tallennettaessa maakuntakaavaa (kaavalaji 11 tai 12) elinkaarentilassa valituksenalainen jossa kaava- luokka on mukana voi kaavakohteiden ja kaavamääräysten elinkaarentila olla vain joko valituksenalainen tai voimassa ennen kaavan lainvoimaisuutta.,"Kaava-luokan elinkaaritila-attribuutin ollessa 08 kaavalajeilla 11 tai 12, täytyy Kaavakohde-, Kohdistus- Kaavamääräys- ja Kaavasuositus-luokan elinkaaritila-attribuutin olla 08 tai 11",,Valituksen alainen,"Kaava.elinkaaritila, Kaavakohde.elinkaaritila, Kohdistus.elinkaaritila, Kaavamääräys.elinkaaritila, Kaavasuositus.elinkaaritila",{0}=http://uri.suomi.fi/codelist/rytj/kaavaelinkaari/code/08 {1}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/11 {2}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/12 {3}=http://uri.suomi.fi/codelist/rytj/kaavaelinkaari/code/08 {4}=http://uri.suomi.fi/codelist/rytj/kaavaelinkaari/code/11
144,quality/req-digital-origin-04,"Jos digitaalinen alkuperä on 04-kaavarajaus on digitoitu, niin aineiston mukana ei saa olla muu kaava-aineisto -aineistoja, kaavakohteita eikä määräyksiä. Jos halutaan toimittaa myös digitoidut kaavakohteet niin digitaalinen alkuperä tulisi olla 02-Kokonaan digitoitu.","KaavaAsia-luokan digitaalinenAlkuperä-attribuutin arvon ollessa 04 - Rajaus digitoitu, tällöin KaavaAsia-luokkalla ei saa esiintyä Lähtötietoaineisto- ja Osallistumis- ja arviointisuunnitelma-luokkia. KaavaAsianVaihe-luokalla ei saa esiintyä Vuorovaikutustapahtuma- tai Käsittelytapahtuma-luokkia. Kaava-luokalla ei saa esiintyä Kaavakohde-, MuuKaavaAineisto-,",,Voimassa,"KaavaAsia.digitaalinenAlkuperä, Kaavakohde, Yleismääräysryhmä",{0}=http://uri.suomi.fi/codelist/rytj/RY_DigitaalinenAlkupera/code/04
145,quality/req-file-not-declared-as-clean,Tallennetun tiedoston tarkistus on kesken tai tiedosto on todettu saastuneeksi.,"Tiedosto, jonka fileKey on {0} ei ole vielä vapautettu haittaohjelmien tarkistuksesta (tarkistus kesken tai tiedosto todettu saastuneeksi)",{0} = fileKey,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","Liiteasiakirja.tiedostoAvain, Kaavakartta.tiedostoAvain",
146,quality/req-only-one-file-per-request-is-allowed,Vain yksi tiedosto sallittu tallennuspyynnössä.,Vain yksi tiedosto sallittu tallennuspyynnössä.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa",,
147,quality/req-content-type-is-not-allowed,Tiedostotyyppi ei sallittu.,Tiedostotyyppi ei sallittu.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa",,
148,quality/req-file-size-too-large-for-content-type,Tiedoston koko liian suuri kyseiselle tiedostotyypille.,Tiedoston koko liian suuri kyseiselle tiedostotyypille.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa",,
149,lifecycle/req-plan-validation-not-allowed-lifecycle,Kyseisessä elinkaarentilassa kaavasuunnitelman validointi ei ole mahdollista julkisella validointirajapinnalla.,{0} elinkaaritilasssa kaavasuunnitelman validointi ei ole mahdollista julkisella validointirajapinnalla.,{0} = elinkaaritila,"Kaavoitusaloite, Vireilletullut, Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen, Osittain voimassa, Voimassa ennen kaavan lainvoimaisuutta, Kumoutunut, Rauennut, Hylätty, Keskeytetty",,
150,quality/req-permanent-bindingplotdivisionidentifier-value-not-found,"Jos asemakaavan yhteydessä hyväksytään erillinen sitova tonttijako, tulee sitovan tonttijaon pysyvä tunnusarvo olla annettuna KaavaAsia-luokalle. Validaatio palauttaa virheen, jos pysyvä sitovan tonttijaon tunnus on kirjoitettu väärin tai sitä ei ei ole.",Annettua pysyvää sitovan tonttijaon tunnusta {0} ei löydy. Joko pysyvä sitovan tonttiaon tunnus on väärin tai sitä ei ole luotu.,{0} = pysyvän kaavatunnuksen arvo,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa",KaavaAsia.pysyväSitovanTonttijaonTunnus,
151,quality/req-administrativeareaidentifiers-cannot-be-modified,KaavaAsia-luokan hallinnollisenAlueenTunnus-attribuutin arvoa ei voi muokata KaavaAsian luomisen jälkeen.,KaavaAsia-luokan hallinnollisenAlueenTunnus-attribuutin arvoa ei voi muokata KaavaAsian luomisen jälkeen.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen, Lainvoimainen, Voimassa",KaavaAsia.hallinnollisenAlueenTunnus,
152,quality/req-phases-must-be-1,Kaava-asiaa luodessa tulee olla mukana KaavaAsianVaihe-luokka.,Kaava-asiaa luodessa tulee olla mukana KaavaAsianVaihe-luokka.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa",,
153,quality/req-phases-must-be-empty,Kaava-asian tietoja muokatessa KaavaAsianVaihe-luokka ei ole sallittu.,Kaava-asian tietoja muokatessa KaavaAsianVaihe-luokka ei ole sallittu.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen, Lainvoimainen, Voimassa",,
154,quality/req-request-not-valid-invalid-content-type,Tiedosto ei vastaa ilmoitettua tiedostotyyppiä. Esimerkiksi jos tallennettava liiteasiakirja (testi.pdf) ei ole oikeasti pdf-muotoinen.,Tiedosto ei vastaa ilmoitettua tiedostotyyppiä.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen, Lainvoimainen, Voimassa",,
155,quality/req-request-not-valid-multipart,Tiedoston tallennussanoman tulee olla multipart/form-data tyyppiä.,Tiedoston tallennussanoman tulee olla multipart/form-data tyyppiä.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen, Lainvoimainen, Voimassa",,
156,quality/req-codelist-additionalinfotype-allowed-datatypes,Sallitut arvot ovat lisätiedonlaji kohtaisia.,{0} ei ole sallittu tietotyyppi lisätiedonlajille {1}. Sallitut tietotyypit ovat: {2},{0} - saatu tietotyyppi (tyypin nimi) {1} - saatu lisätiedonlaji (uri) {2} - lista saadulle kaavamääräyslajille sallituista tietotyypeistä,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",,
157,quality/req-invalid-administrativeareaidentifier,Hallinnollisen alueen tunnus ei ole kelvollinen.,Hallinnollisen alueen tunnus ei ole kelvollinen.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen, Lainvoimainen, Voimassa, Kumoutunut, Rauennut, Hylätty, Keskeytetty",,
158,quality/req-json-deserialization-failure,JSON-sanoma sisältää rakenteellisia virheitä tai ei vastaa rajapintakuvauksen mukaista rakennetta. Validointikäsittelyt eivät ole mahdollisia. JSON- sanoman tulee vastata rajapintakuvauksen mukaista rakennetta.,JSON-sanoma virheellinen. Raakavirhe: {0},{0}=raakavirhe,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen, Lainvoimainen, Voimassa",,
159,quality/req-content-type-mismatch,Tiedoston ilmoitettu tiedostotyyppi ei vastaa sisällön perusteella tunnistettua tyyppiä.,Tiedoston ilmoitettu tiedostotyyppi ei vastaa sisällön perusteella tunnistettua tyyppiä.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen, Lainvoimainen, Voimassa",,
160,quality/req-permanent-bindingplotdivisionidentifier-not-allowed,Pysyvä sitovan tonttijaon tunnus on sallittu vain jos kaava-asian päätösluokan nimi-attribuutin arvo on 11 B (Kaavan ja sitovan tonttijaon hyväksyminen).,"Pysyvä sitovan tonttijaon tunnus ei ole sallittu, jos päätös sitovasta tonttijaosta {0} puuttuu.",{0}=koodiarvo,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen, Lainvoimainen, Voimassa",{0}=http://uri.suomi.fi/codelist/rytj/kaavpaatnimi/code/11B,
161,quality/req-geom-areaobject-additionalinfo-mainuseclass-section-area -mandatory,"Geometrialtaan aluemaiseen kaavakohteeseen tulee liittää aina kaavamääräys, jonka lisätiedonlaji on pääkäyttötarkoitus tai osa-alue.","Geometrialtaan aluemaiseen kaavakohteeseen tulee liittää aina kaavamääräys, jonka lisätiedonlaji on pääkäyttötarkoitus tai osa-alue.",,,,
162,lifecycle/rec-paas-not-empty,Osallistumis- ja arviointisuunnitelma on pakollinen Valmistelu- ja kaikissa myöhemmissä elinkaarivaiheissa KaavaAsia-luokalla. Vireilletullut- elinkaarivaiheessa osallistumis- ja arviontisuunnitelma voidaan toimittaa Ryhti-järjestelmään mutta se ei ole pakollinen. OAS:n puuttuminen ei estä asemakaavan tallentamista.,OAS puuttu {0}-elinkaaritilassa KaavaAsia-luokalla.,{0} = elinkaaritila,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",KaavaAsia.osallistumisJaArviontisuunnitelma,
163,lifecycle/req-codelist-regionalplan-decisionname-lifecycle-05,"Maakuntakaavalla KaavaAsianPäätös-luokan päätöksenNimi-attribuutin koodiarvojen tulee olla 07 - Kaavaehdotuksen asettaminen lausunnoille tai 09 - Muutetun kaavaehdotuksen nähtäville asettaminen, kun elinkaaritila on 05 - Muutettu kaavaehdotus",Maakuntakaavalla KaavaAsianPäätös-luokan päätöksenNimi-attribuutin koodiarvojen tulee olla {0} tai {1} elinkaaritilassa {2},"{0}=koodiarvo, {1}=koodiarvo, {2}=elinkaaritila",Muutettu kaavaehdotus,,{0}=http://uri.suomi.fi/codelist/rytj/kaavpaatnimi/code/07 {1}=http://uri.suomi.fi/codelist/rytj/kaavpaatnimi/code/09 {2}=http://uri.suomi.fi/codelist/rytj/kaavaelinkaari/code/05
164,lifecycle/req-codelist-regionalplan-handlingeventtype-lifecycle-05,"Maakuntakaavalla Käsittelytapahtuma-luokan laji-attribuutin koodiarvojen tulee olla 08 - Viranomaislausuntokierros tai 09 - Muutetun kaavaehdotuksen nähtäville asettaminen, kun elinkaaritila on 05 - Muutettu kaavaehdotus",Maakuntakaavalla Käsittelytapahtuma-luokan laji-attribuutin koodiarvojen tulee olla {0} tai {1} elinkaaritilassa {2},"{0}=koodiarvo, {1}=koodiarvo, {2}=elinkaaritila",Muutettu kaavaehdotus,,{0}=http://uri.suomi.fi/codelist/rytj/kaavakastap/code/08 {1}=http://uri.suomi.fi/codelist/rytj/kaavakastap/code/09 {2}=http://uri.suomi.fi/codelist/rytj/kaavaelinkaari/code/05
165,lifecycle/req-codelist-regionalplan-iteractioneventtype-lifecycle-05,"Maakuntakaavalla Vuorovaikutustapahtuma-luokan laji-attribuutin koodiarvojen tulee olla 01 - Nähtävilläolo tai 02 - Lausuntopyyntö, kun elinkaaritila on 05 - Muutettu kaavaehdotus",Maakuntakaavalla Vuorovaikutustapahtuma-luokan laji-attribuutin koodiarvojen tulee olla {0} tai {1} elinkaaritilassa {2},"{0}=koodiarvo, {1}=koodiarvo, {2}=elinkaaritila",Muutettu kaavaehdotus,,{0}=http://uri.suomi.fi/codelist/rytj/RY_KaavanVuorovaikutustapahtumanLaji/code/01 {1}=http://uri.suomi.fi/codelist/rytj/RY_KaavanVuorovaikutustapahtumanLaji/code/02 {2}=http://uri.suomi.fi/codelist/rytj/kaavaelinkaari/code/05
166,quality/req-datetime-utc,"DateTime-arvon on oltava UTC-ajassa ja sen lopussa oltava ""Z"". Annetulla ISO 8601 - päivämääräarvolla oli joko jokin muu aikavyöhyke määritetty tai aikavyöhykepäätettä ei annettu ollenkaan.","DateTime-arvon on oltava UTC-ajassa ja sen lopussa oltava ""Z"". Annetulla ISO 8601 -päivämääräarvolla oli joko jokin muu aikavyöhyke määritetty tai aikavyöhykepäätettä ei annettu ollenkaan.",,,,
167,quality/req-uri-not-valid,URI-muotoinen viittaustunnus ei kelvollinen.,URI-muotoinen viittaustunnus ei kelvollinen.,,,,
168,quality/req-json-unknown-property,JSON-sanoman rakenteet eivät saa sisältää rajapintakuvaukseen kuulumattomia attribuutteja.,JSON-sanoma sisältää luokkaan '{0}' kuulumattoman kentän: '{1}',"{0} = luokka, {1} = attribuutti",,,
169,quality/req-subsections-paragraphs-not-allowed,Säädösviite-luokan momentti- tai kohta-attribuutille annettu useampi arvo. Tällöin säädöksen muita alempia kohtia ei sallita.,{0}-attribuutille annettu useampi arvo. Tällöin säädöksen muita alempia kohtia ei sallita.,{0} = attribuutti,,"Säädösviite.momentti, Säädösviite.kohta, Säädösviite.alakohta",
170,quality/req-image-width-and-length-tags-are-present-failure,Kuvan leveys ja korkeus tagit (IMAGE WIDTH AND HEIGHT) puuttuvat tai ovat virheelliset.,Kuvan leveys ja korkeus tagit (IMAGE WIDTH AND HEIGHT) puuttuvat tai ovat virheelliset.,,,Kaavakartta.tiedostoAvain,
171,quality/req-all-strip-tags-are-present-failure,Kuvaraitojen tagit (ALL STRIP TAGS) puuttuvat tai ovat virheelliset.,Kuvaraitojen tagit (ALL STRIP TAGS) puuttuvat tai ovat virheelliset.,,,Kaavakartta.tiedostoAvain,
172,quality/req-all-tile-tags-are-present-failure,Kuvan tiili tagit (ALL TILE TAGS) puuttuvat tai ovat virheelliset.,Kuvan tiili tagit (ALL TILE TAGS) puuttuvat tai ovat virheelliset.,,,Kaavakartta.tiedostoAvain,
173,quality/req-bits-per-sample-matches-failure,Kuvan bittisyyden (BITS PER SAMPLE) määrittelyt puuttuvat tai ovat virheelliset.,Kuvan bittisyyden (BITS PER SAMPLE) määrittelyt puuttuvat tai ovat virheelliset.,,,Kaavakartta.tiedostoAvain,
174,quality/req-compression-matches-failure,Kuvan pakkausformaatin (COMPRESSION) määrittelyt puuttuvat tai ovat virheelliset.,Kuvan pakkausformaatin (COMPRESSION) määrittelyt puuttuvat tai ovat virheelliset.,,,Kaavakartta.tiedostoAvain,
175,quality/req-photometric-interpretation-matches-failure,Kuvan värimallin (PHOTOMETRIC INTERPRETATION) määrittelyt puuttuvat tai ovat virheelliset.,Kuvan värimallin (PHOTOMETRIC INTERPRETATION) määrittelyt puuttuvat tai ovat virheelliset.,,,Kaavakartta.tiedostoAvain,
176,quality/req-orientation-matches-failure,Kuvan orientointitietojen (ORIENTATION) määrittelyt puuttuvat tai ovat virheelliset.,Kuvan orientointitietojen (ORIENTATION) määrittelyt puuttuvat tai ovat virheelliset.,,,Kaavakartta.tiedostoAvain,
177,quality/req-samples-per-pixel-matches-failure,Kuvan pikselitietojen (SAMPLES PER PIXEL) määrittelyt puuttuvat tai ovat virheelliset.,Kuvan pikselitietojen (SAMPLES PER PIXEL) määrittelyt puuttuvat tai ovat virheelliset.,,,Kaavakartta.tiedostoAvain,
178,quality/req-planar-configuration-matches-failure,Kuvan pikselikomponenttien/-kanavien (PLANAR CONFIGURATION) määrittelyt puuttuvat tai ovat virheelliset.,Kuvan pikselikomponenttien/-kanavien (PLANAR CONFIGURATION) määrittelyt puuttuvat tai ovat virheelliset.,,,Kaavakartta.tiedostoAvain,
179,quality/req-predictor-matches-failure,Kuvan ennustusalgoritmin (PREDICTOR) määrittelyt puuttuvat tai ovat virheelliset.,Kuvan ennustusalgoritmin (PREDICTOR) määrittelyt puuttuvat tai ovat virheelliset.,,,Kaavakartta.tiedostoAvain,
180,quality/req-sample-format-matches-failure,Kuvan formaatin (SAMPLE FORMAT) määrittelyt puuttuvat tai ovat virheelliset.,Kuvan formaatin (SAMPLE FORMAT) määrittelyt puuttuvat tai ovat virheelliset.,,,Kaavakartta.tiedostoAvain,
181,quality/req-geom-block-not-allowed,"Kaavamääräyslaji ""Korttelialue tai korttelialueen osa"" voidaan liittää ainoastaan kaavakohteeseen, joka on geometrialtaan alue.","Kaavamääräyslaji ""Korttelialue tai korttelialueen osa"" voidaan liittää ainoastaan kaavakohteeseen, joka on geometrialtaan alue.",,,"Kaavakohde.geometria, Kaavamääräys.laji, Kaavasuositus.laji",
182,quality/req-geom-invalid-parse,Geometria tyypin tunnistus ei onnistu.,Geometria tyypin tunnistus ei onnistu.,,,"KaavaAsianVaihe.aluerajaus, Kaava.aluerajaus, Kaavakohde.geometria",
183,quality/req-geom-2d-z-value-not-allowed,2D-geometria ei saa sisältää Z-arvoja.,2D-geometria ei saa sisältää Z-arvoja.,,,"KaavaAsianVaihe.aluerajaus, Kaava.aluerajaus, Kaavakohde.geometria",
184,quality/req-geom-secondary-coordinates-not-allowed,Toisteiset koordinaattit eivät sallittuja.,Toisteiset koordinaattit eivät sallittuja.,,,"KaavaAsianVaihe.aluerajaus, Kaava.aluerajaus, Kaavakohde.geometria",
185,quality/req-geom-self-intersection-prohibited,Geometriat eivät saa leikata itseään.,Geometriat eivät saa leikata itseään.,,,"KaavaAsianVaihe.aluerajaus, Kaava.aluerajaus, Kaavakohde.geometria",
186,quality/req-geom-is-valid-detail,Geometria ei ole kelvollinen. Tarkempi paluuarvo kertoo yksityiskohtaisen geometriavirheen.,Geometria ei ole kelvollinen: {0},{0} = raakavirhe,,Kaavakohde.geometria,
187,quality/req-geom-is-simple-detail,Geometria ei ole kelvollinen. Tarkempi paluuarvo kertoo yksityiskohtaisen geometriavirheen.,"Geometria on virheellinen. Geometrian tulee muodostaa yhtenevä alue, geometria ei saa leikata itseään eikä siinä saa olla muita poikkeavia pisteitä. Geometrian tulee toteuttaa OGC SFS standardin Simplify-määritykset.",,,"KaavaAsianVaihe.aluerajaus, Kaava.aluerajaus, Kaavakohde.geometria",
188,quality/req-subsections-not-empty,Säädösviite-luokan momentti-attribuutin arvo pakollinen. Tällöin säädöksen muita alempia kohtia ei sallita.,Säädösviite-luokan momentti-attribuutin arvo pakollinen. Tällöin säädöksen muita alempia kohtia ei sallita.,,,"Säädösviite.momentti, Säädösviite.kohta, Säädösviite.alakohta",
189,quality/req-paragraphs-not-empty,Säädösviite-luokan kohta-attribuutin arvo pakollinen. Tällöin alakohta-attribuuttia ei sallita.,Säädösviite-luokan kohta-attribuutin arvo pakollinen. Tällöin alakohta-attribuuttia ei sallita.,,,"Säädösviite.kohta, Säädösviite.alakohta",
190,quality/req-phase-lifecyclestatus-mismatch,Olemassa olevan kaava-asian vaiheen elinkaaritilan muuttaminen päivitysoperaation yhteydessä (PUT) ei ole sallittua.,Päivitettävän kaava-asian vaiheen elinkaaritila ei vastaa aiemmin tallennettua. Olemassa olevan kaava-asian vaiheen elinkaaritilan muuttaminen päivitysoperaation yhteydessä (PUT) ei ole sallittua.,,,KaavaAsianVaihe.elinkaaritila,
191,quality/req-geom-footprint-utility-building-notallowed,"Kaavamääräyslaji ""Rakennusala, jolle saa sijoittaa talousrakennuksen"" voidaan liittää ainoastaan kaavakohteeseen, joka on geometrialtaan alue.","Kaavamääräyslaji ""Rakennusala, jolle saa sijoittaa talousrakennuksen"" voidaan liittää ainoastaan kaavakohteeseen, joka on geometrialtaan alue.",,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",,
